"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"5/1/2024","5/1/2024","5/3/2024","ZAPP","Zapp Electric Vehicles
CUSIP: G9889X123","Sell","1","$2.44","$2.44"
"5/1/2024","5/1/2024","5/3/2024","ATXI","Avenue Therapeutics
CUSIP: 05360L403","Sell","1","$4.71","$4.71"
"5/1/2024","5/1/2024","5/3/2024","ZVSA","ZyVersa
CUSIP: 98987D300","Sell","1","$5.36","$5.36"
"5/1/2024","5/1/2024","5/1/2024","RCON","Recon Technology
CUSIP: G7415M132","SPR","0.0556","",""
"5/1/2024","5/1/2024","5/1/2024","RCON","Recon Technology
CUSIP: G7415M124","SPR","1S","",""
"5/1/2024","5/1/2024","5/1/2024","SOPA","Society Pass
CUSIP: 83370P102","SPR","1S","",""
"5/1/2024","5/1/2024","5/1/2024","VINO","Gaucho Group
CUSIP: 36809R404","SPR","1S","",""
"4/30/2024","4/30/2024","4/30/2024","ZVSA","ZyVersa
CUSIP: 98987D300","SPR","1","",""
"4/30/2024","4/30/2024","4/30/2024","ATXI","Avenue Therapeutics
CUSIP: 05360L403","SPR","1","",""
"4/29/2024","4/29/2024","5/1/2024","VINO","Gaucho Group
CUSIP: 36809R404","Buy","1","$0.63","($0.63)"
"4/29/2024","4/29/2024","5/1/2024","SOPA","Society Pass
CUSIP: 83370P102","Buy","1","$0.12","($0.12)"
"4/29/2024","4/29/2024","5/1/2024","RCON","Recon Technology
CUSIP: G7415M124","Buy","1","$0.09","($0.09)"
"4/26/2024","4/26/2024","4/30/2024","SMFL","Smart for Life, Inc
CUSIP: 83204U608","Sell","1","$3.77","$3.77"
"4/26/2024","4/26/2024","4/30/2024","WINT","Windtree Therapeutics
CUSIP: 97382D501","Sell","1","$5.11","$5.11"
"4/26/2024","4/26/2024","4/26/2024","ZVSA","ZyVersa
CUSIP: 98987D201","SPR","1S","",""
"4/25/2024","4/26/2024","4/29/2024","ATXI","Avenue Therapeutics
CUSIP: 05360L304","SPR","1S","",""
"4/25/2024","4/25/2024","4/29/2024","ISUNQ","ISUN INC
CUSIP: 465246106","Buy","1","$0.16","($0.16)"
"4/25/2024","4/25/2024","4/29/2024","ATXI","Avenue Therapeutics
CUSIP: 05360L304","Buy","1","$0.10","($0.10)"
"4/25/2024","4/25/2024","4/25/2024","ZAPP","Zapp Electric Vehicles
CUSIP: G9889X123","SPR","1","",""
"4/24/2024","4/24/2024","4/24/2024","SMFL","Smart for Life, Inc
CUSIP: 83204U608","SPR","1","",""
"4/24/2024","4/24/2024","4/24/2024","WINT","Windtree Therapeutics
CUSIP: 97382D501","SPR","1","",""
"4/23/2024","4/23/2024","4/23/2024","ZAPP","Zapp Electric Vehicles
CUSIP: G9889X107","SPR","1S","",""
"4/23/2024","4/23/2024","4/23/2024","GSUN","Golden Sun Health Technology Group
CUSIP: G4013A115","SPR","1","",""
"4/22/2024","4/22/2024","4/22/2024","WINT","Windtree Therapeutics
CUSIP: 97382D402","SPR","1S","",""
"4/22/2024","4/22/2024","4/22/2024","SMFL","Smart for Life, Inc
CUSIP: 83204U509","SPR","1S","",""
"4/19/2024","4/19/2024","4/23/2024","NUTX","Nutex Health
CUSIP: 67079U207","Sell","1","$0.70","$0.70"
"4/19/2024","4/19/2024","4/23/2024","EMKR","EMCORE
CUSIP: 290846401","Sell","0.9","$2.78","$2.50"
"4/19/2024","4/19/2024","4/23/2024","TCON","TRACON Pharmaceuticals
CUSIP: 89237H308","Sell","1","$2.03","$2.03"
"4/19/2024","4/19/2024","4/23/2024","BON","Bon Natural Life
CUSIP: G14492113","Sell","1","$3.74","$3.74"
"4/19/2024","4/19/2024","4/23/2024","FLNT","Fluent
CUSIP: 34380C201","Sell","1","$2.70","$2.70"
"4/19/2024","4/19/2024","4/23/2024","SBFM","Sunshine Biopharma
CUSIP: 867781601","Sell","1","$2.01","$2.01"
"4/19/2024","4/19/2024","4/23/2024","MI","NFT Limited
CUSIP: G6363T115","Sell","1","$4.25","$4.25"
"4/19/2024","4/19/2024","4/19/2024","SBFM","Sunshine Biopharma
CUSIP: 867781601","SPR","1","",""
"4/18/2024","4/19/2024","4/22/2024","GSUN","Golden Sun Health Technology Group
CUSIP: G4013A107","SPR","1S","",""
"4/18/2024","4/18/2024","4/22/2024","ZVSA","ZyVersa
CUSIP: 98987D201","Buy","1","$0.63","($0.63)"
"4/18/2024","4/18/2024","4/22/2024","SMFL","Smart for Life, Inc
CUSIP: 83204U509","Buy","1","$0.46","($0.46)"
"4/18/2024","4/18/2024","4/22/2024","ZAPP","Zapp Electric Vehicles
CUSIP: G9889X107","Buy","1","$0.15","($0.15)"
"4/18/2024","4/18/2024","4/22/2024","WINT","Windtree Therapeutics
CUSIP: 97382D402","Buy","1","$0.33","($0.33)"
"4/18/2024","4/18/2024","4/22/2024","GSUN","Golden Sun Health Technology Group
CUSIP: G4013A107","Buy","1","$0.49","($0.49)"
"4/16/2024","4/17/2024","4/18/2024","SBFM","Sunshine Biopharma
CUSIP: 867781403","SPR","1S","",""
"4/16/2024","4/16/2024","4/18/2024","SBFM","Sunshine Biopharma
CUSIP: 867781403","Buy","1","$0.06","($0.06)"
"4/16/2024","4/16/2024","4/16/2024","MI","NFT Limited
CUSIP: G6363T115","SPR","1","",""
"4/16/2024","4/16/2024","4/16/2024","FLNT","Fluent
CUSIP: 34380C201","SPR","1","",""
"4/15/2024","4/15/2024","4/15/2024","BON","Bon Natural Life
CUSIP: G14492113","SPR","1","",""
"4/12/2024","4/12/2024","4/12/2024","FLNT","Fluent
CUSIP: 34380C102","SPR","1S","",""
"4/12/2024","4/12/2024","4/12/2024","TCON","TRACON Pharmaceuticals
CUSIP: 89237H308","SPR","1","",""
"4/12/2024","4/12/2024","4/12/2024","NUTX","Nutex Health
CUSIP: 67079U207","SPR","1","",""
"4/11/2024","4/12/2024","4/15/2024","MI","NFT Limited
CUSIP: G6363T107","SPR","1S","",""
"4/11/2024","4/11/2024","4/15/2024","MI","NFT Limited
CUSIP: G6363T107","Buy","1","$0.15","($0.15)"
"4/11/2024","4/11/2024","4/11/2024","SMSI","Smith Micro Software
CUSIP: 832154405","SPR","0.125","",""
"4/11/2024","4/11/2024","4/11/2024","SMSI","Smith Micro Software
CUSIP: 832154207","SPR","1S","",""
"4/10/2024","4/11/2024","4/12/2024","BON","Bon Natural Life
CUSIP: G14492105","SPR","1S","",""
"4/10/2024","4/10/2024","4/12/2024","FLNT","Fluent
CUSIP: 34380C102","Buy","1","$0.50","($0.50)"
"4/10/2024","4/10/2024","4/12/2024","BON","Bon Natural Life
CUSIP: G14492105","Buy","1","$0.40","($0.40)"
"4/9/2024","4/10/2024","4/11/2024","TCON","TRACON Pharmaceuticals
CUSIP: 89237H209","SPR","1S","",""
"4/9/2024","4/10/2024","4/11/2024","NUTX","Nutex Health
CUSIP: 67079U108","SPR","1S","",""
"4/9/2024","4/9/2024","4/9/2024","EMKR","EMCORE
CUSIP: 290846401","ITRF","0.9","",""
"4/9/2024","4/9/2024","4/11/2024","NUTX","Nutex Health
CUSIP: 67079U108","Buy","1","$0.08","($0.08)"
"4/9/2024","4/9/2024","4/11/2024","EDBL","Edible Garden AG
CUSIP: 28059P303","Sell","1","$6.65","$6.65"
"4/9/2024","4/9/2024","4/11/2024","SMSI","Smith Micro Software
CUSIP: 832154207","Buy","1","$0.32","($0.32)"
"4/9/2024","4/9/2024","4/11/2024","TCON","TRACON Pharmaceuticals
CUSIP: 89237H209","Buy","1","$0.19","($0.19)"
"4/9/2024","4/9/2024","4/9/2024","EDBL","Edible Garden AG
CUSIP: 28059P303","SPR","1","",""
"4/8/2024","4/9/2024","4/10/2024","ALLR","Allarity Therapeutics
CUSIP: 016744401","SPR","0.05","",""
"4/8/2024","4/9/2024","4/10/2024","ALLR","Allarity Therapeutics
CUSIP: 016744302","SPR","1S","",""
"4/8/2024","4/8/2024","4/10/2024","ALLR","Allarity Therapeutics
CUSIP: 016744302","Buy","1","$0.22","($0.22)"
"4/8/2024","4/8/2024","4/10/2024","UCAR","U Power
CUSIP: G9520U116","Sell","1","$6.33","$6.33"
"4/8/2024","4/8/2024","4/10/2024","AWIN","AERWINS Technologies
CUSIP: 00810J207","Sell","1","$5.27","$5.27"
"4/8/2024","4/8/2024","4/10/2024","DCFCQ","TRITIUM DCFC LTD
CUSIP: Q9225T207","Sell","1","$6.73","$6.73"
"4/8/2024","4/8/2024","4/10/2024","NRXP","NRX Pharmaceuticals
CUSIP: 629444209","Sell","1","$5.36","$5.36"
"4/8/2024","4/8/2024","4/10/2024","PLUR","Pluri
CUSIP: 72942G203","Sell","1","$5.66","$5.66"
"4/8/2024","4/8/2024","4/10/2024","EMKR","EMCORE
CUSIP: 290846401","Sell","0.1","$3.22","$0.32"
"4/5/2024","4/5/2024","4/5/2024","UCAR","U Power
CUSIP: G9520U116","SPR","1","",""
"4/4/2024","4/5/2024","4/8/2024","EDBL","Edible Garden AG
CUSIP: 28059P204","SPR","1S","",""
"4/4/2024","4/4/2024","4/8/2024","EDBL","Edible Garden AG
CUSIP: 28059P204","Buy","1","$0.41","($0.41)"
"4/4/2024","4/4/2024","4/4/2024","AWIN","AERWINS Technologies
CUSIP: 00810J207","SPR","1","",""
"4/4/2024","4/4/2024","4/4/2024","DCFCQ","TRITIUM DCFC LTD
CUSIP: Q9225T207","SPR","1","",""
"4/3/2024","4/3/2024","4/3/2024","UCAR","U Power
CUSIP: G9520U108","SPR","1S","",""
"4/3/2024","4/3/2024","4/3/2024","NRXP","NRX Pharmaceuticals
CUSIP: 629444209","SPR","1","",""
"4/3/2024","4/3/2024","4/3/2024","PLUR","Pluri
CUSIP: 72942G203","SPR","1","",""
"4/1/2024","4/2/2024","4/3/2024","DCFC","Tritium DCFC Limited
CUSIP: Q9225T108","SPR","1S","",""
"4/1/2024","4/2/2024","4/3/2024","AWIN","AERWINS Technologies
CUSIP: 00810J108","SPR","1S","",""
"4/1/2024","4/2/2024","4/3/2024","NRXP","NRX Pharmaceuticals
CUSIP: 629444100","SPR","1S","",""
