Instrument,Activity Date,Trans Code,Quantity,Price
IFBD,11/17/2023,Buy,1.0,0.09
PRE,11/10/2023,Buy,1.0,0.34
NVOS,11/9/2023,Sell,1.0,1.52
JFBR,11/7/2023,Sell,1.0,3.09
NVOS,11/6/2023,Buy,1.0,0.13
JFBR,11/2/2023,Buy,3.0,0.43
JFBR,11/2/2023,Buy,1.0,0.38
BYU,11/1/2023,Sell,1.0,2.09
PXMD,10/31/2023,Sell,0.058824,3.02
JWEL,10/31/2023,Sell,1.0,1.96
CPOP,10/31/2023,Sell,1.0,1.72
VVOS,10/31/2023,Sell,1.0,3.12
SMFL,10/31/2023,Sell,1.0,1.7
PXMD,10/30/2023,Buy,1.0,0.15
CPOP,10/26/2023,Buy,1.0,0.33
SMFL,10/26/2023,Buy,1.0,0.7
GLG,10/26/2023,Buy,1.0,0.07
JWEL,10/26/2023,Buy,1.0,0.26
VVOS,10/26/2023,Buy,1.0,0.26
WAVD,10/20/2023,Sell,1.0,2.97
OCG,10/20/2023,Sell,1.0,1.31
NTBL,10/20/2023,Sell,2.0,3.03
NTBL,10/20/2023,Buy,1.0,3.08
AQB,10/18/2023,Sell,1.0,3.72
SLNH,10/18/2023,Sell,1.0,2.89
PIXY,10/18/2023,Sell,1.0,11.55
MIND,10/18/2023,Sell,1.0,4.38
OCG,10/17/2023,Buy,1.0,0.31
WAVD,10/17/2023,Buy,1.0,0.33
LIFW,10/17/2023,Sell,1.0,1.82
VBLT,10/16/2023,Buy,1.0,0.16
VLCN,10/16/2023,Sell,0.2,2.06
AGRI,10/16/2023,Sell,1.0,2.93
PIXY,10/13/2023,Buy,1.0,0.71
VLCN,10/13/2023,Buy,1.0,0.39
AQB,10/13/2023,Buy,1.0,0.21
BRQSF,10/12/2023,Sell,1.0,0.72
SLNH,10/12/2023,Buy,1.0,0.18
LIFW,10/12/2023,Buy,1.0,0.13
MIND,10/12/2023,Buy,1.0,0.48
WORX,10/11/2023,Sell,0.066667,2.61
NITO,10/10/2023,Sell,1.0,2.97
VVPR,10/10/2023,Sell,1.0,1.51
AGRI,10/10/2023,Buy,1.0,0.08
WORX,10/10/2023,Buy,1.0,0.2
SXTC,10/9/2023,Sell,1.0,2.65
EBET,10/9/2023,Sell,1.0,0.41
BRQS,10/9/2023,Buy,1.0,0.1
VVPR,10/5/2023,Buy,1.0,0.32
SVFD,10/5/2023,Buy,1.0,0.57
SXTC,10/4/2023,Buy,1.0,0.11
PIXY,10/2/2023,Sell,1.0,1.61
EBET,9/29/2023,Buy,1.0,0.04
PIXY,9/29/2023,Buy,1.0,0.78
CRIS,9/29/2023,Sell,0.05,7.06
RBTC,9/29/2023,Sell,1.0,2.16
CRIS,9/28/2023,Buy,1.0,0.4
EJH,9/27/2023,Sell,1.0,0.9
YYAI,9/27/2023,Sell,1.0,3.85
RBT,9/26/2023,Buy,1.0,0.32
NTRP,9/26/2023,Sell,1.0,2.94
CNXA,9/22/2023,Buy,1.0,0.14
EJH,9/22/2023,Buy,1.0,0.09
AYRO,9/21/2023,Sell,1.0,2.62
AEHL,9/21/2023,Sell,1.0,2.71
SASI,9/21/2023,Buy,1.0,0.2
KXIN,9/19/2023,Sell,1.0,2.63
ASTR,9/18/2023,Sell,1.0,2.58
AYRO,9/15/2023,Buy,1.0,0.49
AEHL,9/15/2023,Buy,1.0,0.33
AVGR,9/15/2023,Sell,1.0,4.51
KXIN,9/14/2023,Buy,1.0,0.23
LFLY,9/14/2023,Sell,1.0,9.39
AMPE,9/14/2023,Sell,1.0,4.5
ASTI,9/14/2023,Sell,1.0,8.61
AAPL,9/13/2023,Buy,0.11,174.72
AAPL,9/13/2023,Buy,0.858786,174.66
ASTR,9/13/2023,Buy,1.0,0.19
BACK,9/13/2023,Sell,1.0,2.41
AVGR,9/12/2023,Buy,1.0,0.4
LFLY,9/11/2023,Buy,1.0,0.65
ASTI,9/11/2023,Buy,1.0,0.05
GROM,9/11/2023,Sell,1.0,2.23
RVYL,9/11/2023,Sell,1.0,4.23
AMPE,9/11/2023,Buy,1.0,0.22
