Instrument,Activity Date,Buy Price,Sell Price,Quantity,Profit
CHR,11/24/2023,0.35,3.46,1.0,3.11
VTVT,11/20/2023,0.36,10.64,1.0,10.280000000000001
PRE,11/10/2023,0.34,4.8,1.0,4.46
NVOS,11/6/2023,0.13,1.52,1.0,1.3900000000000001
JFBR,11/2/2023,0.43,3.09,1.0,2.6599999999999997
JFBR,11/2/2023,0.38,3.09,1.0,2.71
JWEL,10/26/2023,0.26,1.96,1.0,1.7
CPOP,10/26/2023,0.33,1.72,1.0,1.39
VVOS,10/26/2023,0.26,3.12,1.0,2.8600000000000003
WAVD,10/17/2023,0.33,2.97,1.0,2.64
OCG,10/17/2023,0.31,1.31,1.0,1.0
NTBL,10/20/2023,3.08,3.03,1.0,-0.050000000000000266
AQB,10/13/2023,0.21,3.72,1.0,3.5100000000000002
SLNH,10/12/2023,0.18,2.89,1.0,2.71
PIXY,10/13/2023,0.71,11.55,1.0,10.84
PIXY,10/13/2023,0.71,1.61,1.0,0.9000000000000001
PIXY,9/29/2023,0.78,11.55,1.0,10.770000000000001
PIXY,9/29/2023,0.78,1.61,1.0,0.8300000000000001
MIND,10/12/2023,0.48,4.38,1.0,3.9
LIFW,10/12/2023,0.13,1.82,1.0,1.69
AGRI,10/10/2023,0.08,2.93,1.0,2.85
VVPR,10/5/2023,0.32,1.51,1.0,1.19
SXTC,10/4/2023,0.11,2.65,1.0,2.54
EBET,9/29/2023,0.04,0.41,1.0,0.37
AYRO,9/15/2023,0.49,2.62,1.0,2.13
AEHL,9/15/2023,0.33,2.71,1.0,2.38
KXIN,9/14/2023,0.23,2.63,1.0,2.4
ASTR,9/13/2023,0.19,2.58,1.0,2.39
AVGR,9/12/2023,0.4,4.51,1.0,4.109999999999999
LFLY,9/11/2023,0.65,9.39,1.0,8.74
AMPE,9/11/2023,0.22,4.5,1.0,4.28
ASTI,9/11/2023,0.05,8.61,1.0,8.559999999999999
BACK,9/7/2023,0.11,2.41,1.0,2.3000000000000003
GROM,9/6/2023,0.29,2.23,1.0,1.94
RVYL,9/6/2023,0.67,4.23,1.0,3.5600000000000005
FFIE,8/25/2023,0.16,7.88,1.0,7.72
MNTS,8/23/2023,0.24,8.0,1.0,7.76
UPC,7/27/2023,0.37,1.52,1.0,1.15
TAOP,7/31/2023,0.55,2.76,1.0,2.21
ADTX,8/17/2023,0.4,11.44,1.0,11.04
OTRK,7/27/2023,0.38,1.64,1.0,1.2599999999999998
KPLT,7/27/2023,0.82,14.9,1.0,14.08
BNTC,7/25/2023,0.21,3.12,1.0,2.91
JZXN,7/7/2023,0.15,2.79,1.0,2.64
AUID,7/5/2023,1.02,6.9,1.0,5.880000000000001
AREB,6/26/2023,0.17,2.43,1.0,2.2600000000000002
TLIS,7/5/2023,0.5,7.34,1.0,6.84
AGFY,7/3/2023,0.18,2.77,1.0,2.59
XXII,7/3/2023,0.29,2.62,1.0,2.33
BFRI,7/3/2023,0.54,8.92,1.0,8.379999999999999
BTCY,6/30/2023,0.64,2.67,1.0,2.03
PRFX,6/30/2023,0.56,5.8,1.0,5.24
IKT,6/29/2023,0.59,3.41,1.0,2.8200000000000003
MRAI,6/28/2023,0.48,1.63,1.0,1.15
MEDS,6/21/2023,0.36,13.9,1.0,13.540000000000001
ATIP,6/14/2023,0.2,12.98,1.0,12.780000000000001
IZEA,6/15/2023,0.7,2.68,1.0,1.9800000000000002
BOXL,6/13/2023,0.33,2.1,1.0,1.77
AUMN,6/8/2023,0.11,2.16,1.0,2.0500000000000003
CELZ,6/9/2023,0.41,4.66,1.0,4.25
BTOG,5/26/2023,0.08,2.01,1.0,1.9299999999999997
LIQT,5/25/2023,0.4,3.2,1.0,2.8000000000000003
NVFY,5/23/2023,0.6,3.04,1.0,2.44
SEAC,5/22/2023,0.44,8.25,1.0,7.81
GLMD,5/12/2023,0.33,4.59,1.0,4.26
GREE,5/15/2023,0.35,3.58,1.0,3.23
